Combination,Propellant Mass [kg],Inert Mass [kg],Total Mass [kg] (including payload),First Stage Burn Time [sec],Second Stage Burn Time [sec],Maximum Dynamic Pressure (Max Q) [kPa],Delta V [km/s],Payload Mass (kg),Alt [km],Diameter 1,Diameter 2,(L/D),Name of Tester,Evaluation Function,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Normalized Data by max value,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D factor,Weights,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Value,Cost,,,Value,Cost
02050711,28.6237265,6.24247222,39.8661987,6.91673268,6.55908101,707.370258,3.5396,5,150,4.5,3.5,22.87420176,Keita,,0.9625581207,0.5,1.448295839,0.2035624227,1.240645247,0.9782404354,,0.4682283034,0.5,0.375,0.4677048298,0.7346173919,0.978241977,,,,,,,,0.653,0.575,,,0.562,0.548
02050712,31.8867849,6.9311333,43.8179182,7.80470179,7.18032296,624.242453,3.665,5,200,4.5,3.5,25.48182366,Omkar ,,1.070358911,0.5,1.931061118,0.2267682087,1.094848735,0.9448930721,,0.5206670912,0.5,0.5,0.5210224219,0.6482875942,0.9448945611,,,,,,,,0.700,0.572,,,0.633,0.559
02050713,35.1775019,7.62377616,47.8012781,8.7082315,7.79661456,552.675599,3.7772,5,250,4.5,3.5,28.1115485,,,1.178917576,0.5,2.413826398,0.2501706935,0.9693287882,0.9061589268,,0.5734745409,0.5,0.625,0.5747919489,0.5739640627,0.9061603547,,,,,,,,0.745,0.574,,,0.703,0.574
02050714,38.1381628,8.24556851,51.3837313,9.52711731,8.34350655,496.083546,3.868,5,300,4.5,3.5,30.47751419,,,1.276473133,0.5,2.896591677,0.2712259291,0.8700729024,0.8702674573,,0.6209296213,0.5,0.75,0.6231684383,0.5151921453,0.8702688287,,,,,,,,0.792,0.580,,,0.774,0.591
02050715,43.6264666,9.3952732,58.0217398,11.057841,9.34110864,409.54552,4.0157,5,400,4.5,3.5,34.86340603,,,1.457067831,0.5,3.862122236,0.3102569204,0.7182952592,0.805806187,,0.7087783937,0.5,1,0.7128460068,0.4253207685,0.8058074569,,,,,,,,0.888,0.597,,,0.917,0.626
02050809,28.1034493,6.13247943,39.2359287,6.77596844,6.4589852,655.436554,3.51809863,5,100,4.5,4,18.72373925,Omkar,,0.9453538314,0.5,0.965530559,0.1998623843,1.149559564,0.9982811812,,0.4598594216,0.5,0.25,0.4592036251,0.680683258,0.9982827544,,,,,,,,0.599,0.548,,,0.487,0.526
02050810,30.324533,6.60167003,41.926203,7.37849308,6.88425135,606.704623,3.6069,5,125,4.5,4,20.20352173,Siddarth,,1.018767459,0.5,1.206913199,0.2156579928,1.064089419,0.9987874466,,0.4955708635,0.5,0.3125,0.4954956003,0.630074226,0.9987890205,,,,,,,,0.631,0.549,,,0.528,0.536
02050811,32.1454222,6.98563604,44.1310582,7.87543341,7.22911603,569.749166,3.6743,5,150,4.5,4,21.41667725,Siddarth,,1.078896389,0.5,1.448295839,0.2286075512,0.999273841,0.9919907142,,0.5248200755,0.5,0.375,0.5252484934,0.5916952849,0.9919922774,,,,,,,,0.659,0.552,,,0.566,0.545
02050812,35.2614939,7.64143311,47.902927,8.73138628,7.81223075,512.46498,3.7799,5,200,4.5,4,23.49273964,Siddarth,,1.181686931,0.5,1.931061118,0.2507680167,0.8988040343,0.9711148484,,0.5748216703,0.5,0.5,0.576164358,0.5322045743,0.9711163787,,,,,,,,0.712,0.558,,,0.641,0.563
02050813,38.4683525,8.31484067,51.7831931,9.61875384,8.40408673,460.752711,3.8776,5,250,4.5,4,25.6292882,,,1.287345755,0.5,2.413826398,0.2735741285,0.8081067227,0.9428064577,,0.6262185169,0.5,0.625,0.6285636588,0.4785004049,0.9428079434,,,,,,,,0.762,0.568,,,0.714,0.583
